{hash: 6c0fd03, author: Adam, date: 2025-02-14 14:55:44 +0400, message: Merge pull request #218 from FortyGuard-Tech/dev},
{hash: 6712eef, author: Adam, date: 2025-01-03 16:57:11 +0400, message: Merge pull request #198 from FortyGuard-Tech/dev},
{hash: a17be13, author: Adam, date: 2024-10-10 13:49:51 +0400, message: Merge pull request #174 from FortyGuard-Tech/feature/add-endpoints-get-segmentation-results},
{hash: d88d1f9, author: Adam, date: 2024-09-24 19:11:47 +0400, message: Merge pull request #171 from FortyGuard-Tech/dev},
{hash: 2916ecf, author: Adam, date: 2024-09-19 19:57:39 +0400, message: Merge pull request #168 from FortyGuard-Tech/add-heatmap-stats},
{hash: c83c1da, author: Adam, date: 2024-07-18 13:06:21 +0400, message: Merge pull request #155 from FortyGuard-Tech/fix/insights-get-dashboard},
{hash: 22a9ba6, author: Adam, date: 2024-07-18 13:05:21 +0400, message: updated insights function `get_dashboard`},
{hash: 920f598, author: Adam, date: 2024-07-18 13:04:44 +0400, message: revert},
{hash: 4f4c12e, author: Adam, date: 2024-07-18 12:58:36 +0400, message: New insights `get_dashboard` function},
{hash: b2deab3, author: Adam, date: 2024-07-11 13:46:21 +0400, message: Update README.md},
{hash: 40f9f7d, author: Adam, date: 2024-06-21 12:25:57 +0400, message: Merge pull request #148 from FortyGuard-Tech/refactor-to-FastAPI},
{hash: b7e1f72, author: Adam, date: 2024-06-21 12:24:36 +0400, message: Creating the dashboard before sending the request},
{hash: 00868fc, author: Adam, date: 2024-06-21 12:12:03 +0400, message: Merge pull request #147 from FortyGuard-Tech/refactor-to-FastAPI},
{hash: 7becda9, author: Adam, date: 2024-06-21 12:11:25 +0400, message: Quick Fix: fetch analytics ID from analytics collection instead of activity group},
{hash: f092593, author: Adam, date: 2024-06-13 22:47:05 +0400, message: Merge pull request #136 from FortyGuard-Tech/refactor-to-FastAPI},
{hash: e773975, author: Adam, date: 2024-06-13 22:45:30 +0400, message: Merge branch 'refactor-to-FastAPI' of https://github.com/FortyGuard-Tech/tOS-Dashboard-API into refactor-to-FastAPI},
{hash: 174554d, author: Adam, date: 2024-06-13 22:45:09 +0400, message: Adding task-status endpoint for intelligence celery},
{hash: 0fe490f, author: Adam, date: 2024-06-13 20:13:58 +0400, message: Merge pull request #132 from FortyGuard-Tech/refactor-to-FastAPI},
{hash: 74ea07d, author: Adam, date: 2024-06-13 20:07:40 +0400, message: Merge branch 'refactor-to-FastAPI' of https://github.com/FortyGuard-Tech/tOS-Dashboard-API into refactor-to-FastAPI},
{hash: f2bff0d, author: Adam, date: 2024-06-13 20:07:16 +0400, message: Undo the way activities are fetched and sent},
{hash: e553eb0, author: Adam, date: 2024-06-13 19:18:39 +0400, message: Merge pull request #130 from FortyGuard-Tech/refactor-to-FastAPI},
{hash: 5a78013, author: Adam, date: 2024-06-13 19:16:27 +0400, message: Merge branch 'refactor-to-FastAPI' of https://github.com/FortyGuard-Tech/tOS-Dashboard-API into refactor-to-FastAPI},
{hash: 68f5ef4, author: Adam, date: 2024-06-13 19:16:08 +0400, message: Adding TODO notes},
{hash: 98a7703, author: Adam, date: 2024-06-13 19:15:44 +0400, message: Changing logger name},
{hash: ec0ffa0, author: Adam, date: 2024-06-13 16:28:18 +0400, message: Merge pull request #127 from FortyGuard-Tech/dev},
{hash: fd73969, author: Adam, date: 2024-06-13 16:27:48 +0400, message: Merge pull request #126 from FortyGuard-Tech/fix/cors-staging},
{hash: 2898f93, author: Adam, date: 2024-06-13 16:26:33 +0400, message: Update allow_origins to include staging},
{hash: 3e4c827, author: Adam, date: 2024-06-12 20:25:30 +0400, message: Merge branch 'refactor-to-FastAPI' of https://github.com/FortyGuard-Tech/tOS-Dashboard-API into refactor-to-FastAPI},
{hash: fa880ef, author: Adam, date: 2024-06-12 20:25:06 +0400, message: Refactor reverse geocoding logic in create_activity_group function},
{hash: 04c1dc2, author: Adam, date: 2024-06-12 15:28:06 +0400, message: Merge pull request #124 from FortyGuard-Tech/refactor-to-FastAPI},
{hash: 021d04d, author: Adam, date: 2024-06-12 15:27:53 +0400, message: Update task_state comparison to use integer value instead of string},
{hash: 23caad5, author: Adam, date: 2024-06-12 15:24:16 +0400, message: Updating task_status to task_state},
{hash: f8ac76e, author: Adam, date: 2024-06-12 15:24:03 +0400, message: Dont send Activity group that has a failed heatmap},
{hash: e1925b6, author: Adam, date: 2024-06-12 15:23:45 +0400, message: Updating task_status to task_state},
{hash: 36a2f47, author: Adam, date: 2024-06-11 17:12:57 +0400, message: Merge pull request #123 from FortyGuard-Tech/refactor-to-FastAPI},
{hash: da57680, author: Adam, date: 2024-06-11 17:11:52 +0400, message: feat: Update subscription logic to include subscribed locations},
{hash: 616a90c, author: Adam, date: 2024-06-11 17:11:44 +0400, message: Remove duplicate function for updating subscription},
{hash: 509a3f0, author: Adam, date: 2024-06-11 17:11:01 +0400, message: Update task status in Firestore for activity groups when task fails},
{hash: 6f05d01, author: Adam, date: 2024-06-11 12:41:27 +0400, message: Merge pull request #122 from FortyGuard-Tech/refactor-to-FastAPI},
{hash: 2f3440a, author: Adam, date: 2024-06-11 12:40:23 +0400, message: HotFix: Rename `activity_name` to `activity_group_name` in `ActivityRequest` class},
{hash: 75cd619, author: Adam, date: 2024-06-11 11:58:10 +0400, message: Merge pull request #121 from FortyGuard-Tech/refactor-to-FastAPI},
{hash: 7d747ba, author: Adam, date: 2024-06-11 11:57:09 +0400, message: Change all variables where `activity_group_name` is `activity_name`},
{hash: 4d51491, author: Adam, date: 2024-06-06 15:14:04 +0400, message: Merge pull request #104 from FortyGuard-Tech/refactor-to-FastAPI},
{hash: af8f556, author: Adam, date: 2024-06-06 15:12:05 +0400, message: Update the heatmap document with result metadata once generation is completed},
{hash: e4925b1, author: Adam, date: 2024-06-06 02:25:43 +0400, message: Merge pull request #101 from FortyGuard-Tech/refactor-to-FastAPI},
{hash: d025611, author: Adam, date: 2024-06-06 00:37:52 +0400, message: Refactor activity endpoint to return task info},
{hash: 56e4753, author: Adam, date: 2024-06-06 00:36:59 +0400, message: Convert date and time to ISO format in activity endpoint},
{hash: e5ad032, author: Adam, date: 2024-06-06 00:33:56 +0400, message: Adding try-catch for heatmap creation endpoint},
